System,Year,Site,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,BLTR #/100m,,,BLTR_100m
Kakwa,1983,1002219,PRAIRIE CREEK,247327.8206,6009340.822,300,1,1,4,,,,,,0.333333333
Kakwa,1983,1002230,UNNAMED,270408.8701,6025176.846,300,,1,,,1,,,,0.333333333
Kakwa,1983,1002233,UNNAMED,255949.7319,6021325.75,900,2,,,,,,,,0
Kakwa,1983,1038519,UNNAMED,253371.7675,6029603.679,300,,,,9,,,,,0
Kakwa,,Grand Total,,,,,3,2,4,9,1,0.166666667,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1984,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,SLSC,BLTR #/100m,,,,
Kakwa,1984,1002484,CHICKEN CREEK,212825.9084,6024400.596,300,,1,,1,,,,,0.333333333
Kakwa,1984,1002495,REDROCK CREEK,218125.3365,6036099.346,300,8,1,,1,,,,,0.333333333
Kakwa,1984,1002511,UNNAMED,232161.4783,6023185.021,300,,13,,,,,,,4.333333333
Kakwa,1984,1002514,UNNAMED,232019.6391,6007058.793,300,1,,,1,,,,,0
Kakwa,1984,1002517,UNNAMED,245816.9656,6031409.728,300,1,,,1,,,,,0
Kakwa,1984,1002520,UNNAMED,264858.6375,6026151.583,300,3,,2,1,,,,,0
Kakwa,1984,1002521,UNNAMED,269260.5794,6035183.113,300,7,,,,,,,,0
Kakwa,1984,1002522,LITTLE REDROCK CREEK,226777.9028,6024905.367,300,3,1,,1,,,,,0.333333333
Kakwa,1984,1002523,UNNAMED,239759.9413,6021194.136,300,9,1,,1,,,,,0.333333333
Kakwa,,Grand Total,,,,,32,17,2,7,0.62962963,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1994,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BURB,LKCH,RNTR,WHSC,,,,,
Kakwa,1994,1002882,UNNAMED,272179.1295,6049532.589,174,1,1,58,1,,,,,0
Kakwa,,,,,,217,,,10,1,,,,,0
Kakwa,,Grand Total,,,,,1,1,68,2,,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1995,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,WHSC,BLTR #/100m,,
Kakwa,1995,1001171,CHICKEN CREEK,213437.1784,6025573.299,323,,1,1,,1,,,,0.309597523
Kakwa,1995,1001172,CHICKEN CREEK,216296.36,6029302.048,184,,2,,,,,,,1.086956522
Kakwa,1995,1001175,COPTON CREEK,204370.7985,6001588.613,298,,,,,1,,,,0
Kakwa,1995,1001203,HAT CREEK,196709.0274,6016469.664,385,,,1,1,1,,,,0
Kakwa,1995,1001215,LYNX CREEK,197541.1657,6015654.628,187,,1,1,1,1,,,,0.534759358
Kakwa,1995,1001458,UNNAMED,193868.7796,6016991.889,191,3,1,5,1,1,,,,0.523560209
Kakwa,1995,1001488,UNNAMED,231428.6429,6023598.163,265,,19,,,,,,,7.169811321
Kakwa,1995,1001518,UNNAMED,239977.3903,6020994.26,311,14,1,,,1,1,,,0.321543408
Kakwa,1995,1001519,UNNAMED,238714.4872,6024633.19,309,6,,,2,1,,,,0
Kakwa,,Grand Total,,,,,23,25,8,5,7,1,1.105136482,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1996,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BKTR,BLTR,LNSC,MNWH,RNTR,SLSC,BLTR #/100m,
Kakwa,1996,1001232,PRAIRIE CREEK,225930.4144,6003123.847,280,,,2,,,,,,0.714285714
Kakwa,1996,1001233,PRAIRIE CREEK,229039.2702,6006170.432,350,1,,1,,3,,,,0.285714286
Kakwa,1996,1001235,UNNAMED,247566.2011,6009636.851,400,1,,1,,1,1,,,0.25
Kakwa,1996,1001439,UNNAMED,247836.8416,6008201.165,250,,,4,,,,,,1.6
Kakwa,1996,1001441,UNNAMED,257201.973,6011949.542,250,2,,1,,,,,,0.4
Kakwa,1996,1001442,UNNAMED,252213.8825,6009609.951,390,,,5,,,,,,1.282051282
Kakwa,1996,1001443,UNNAMED,252269.7046,6011325.066,430,6,,3,,1,,,,0.697674419
Kakwa,1996,1001455,UNNAMED,228918.764,6006563.913,400,,,3,,2,,,,0.75
Kakwa,1996,1001476,UNNAMED,259755.9333,6018866.434,270,,,1,,,9,,,0.37037037
Kakwa,1996,1001477,UNNAMED,265760.5706,6022028.73,330,4,,,,,,1,,0
Kakwa,1996,1001478,UNNAMED,270408.8701,6025176.846,280,3,,2,,,,1,,0.714285714
Kakwa,1996,1001497,UNNAMED,231595.8112,6001600.527,375,1,,4,,1,,,,1.066666667
Kakwa,1996,1002602,BEAVERDAM CREEK,219007.3749,6003209.757,150,,,4,,,,1,,2.666666667
Kakwa,1996,1002616,BEAVERDAM CREEK,218619.575,6002364.789,203,1,,9,,,2,1,,4.433497537
Kakwa,1996,1002627,BEAVERDAM CREEK,218524.2893,5995536.449,157,,,2,,,,1,,1.27388535
Kakwa,1996,1002632,BEAVERDAM CREEK,218520.9932,5995539.438,203,,,3,,,,,,1.477832512
Kakwa,1996,1002650,CAW CREEK,205927.6104,5999367.417,210,,,4,,,,,,1.904761905
Kakwa,1996,1002655,CAW CREEK,208278.0389,5996736.724,150,,,27,,,,,,18
Kakwa,1996,1002673,CAW CREEK,213875.1061,5995049.424,158,,,1,,,,,,0.632911392
Kakwa,1996,1002761,UNNAMED,216088.266,5998453.487,180,,6,1,,,,,,0.555555556
Kakwa,1996,1003620,HAT CREEK,195624.2156,6019431.365,433,2,,,,,3,,,0
Kakwa,1996,1003665,LYNX CREEK,197541.2943,6015671.469,634,,,74,,21,9,,,11.67192429
