System,Year,Site,,,,,,,,,,BLTR_km
Kakwa,1995,1003734,KAKWA RIVER,196027.5284,6003333.723,21300,7,7,,,,0.328638498
Kakwa,1995,1003943,KAKWA RIVER,211648.3452,6017447.11,17000,,17,,,,1
Kakwa,1995,1003949,KAKWA RIVER,211632.9919,6017540.665,6000,1,4,,,,0.666666667
Kakwa,1995,1004120,KAKWA RIVER,209142.1533,6018985.631,10400,5,10,1,5,,0.961538462
Kakwa,1995,1004177,KAKWA RIVER,224042.6111,6019876.878,20200,,22,,,,1.089108911
Kakwa,,Grand Total,,,,,13,60,1,5,0.809190507,
Kakwa,,,,,,,,,,,,
Kakwa,,1996,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,#BLTR/km,,
Kakwa,1996,1003705,PRAIRIE CREEK,252211.8406,6011409.109,650,1,,5,,,0
Kakwa,1996,1003731,KAKWA RIVER,196040.5798,6002762.882,24000,1,1,,,,0.041666667
Kakwa,1996,1003752,KAKWA RIVER,197456.1281,6003547.382,24000,6,5,,,,0.208333333
Kakwa,1996,1003799,KAKWA RIVER,199884.447,6006475.882,24000,5,5,,,,0.208333333
Kakwa,1996,1003827,KAKWA RIVER,200592.4168,6009071.263,24000,3,4,,,,0.166666667
Kakwa,1996,1003912,KAKWA RIVER,204047.8969,6016117.386,24000,2,7,,,,0.291666667
Kakwa,1996,1003991,KAKWA RIVER,211249.2223,6017760.58,24000,,6,,,,0.25
Kakwa,1996,1004062,KAKWA RIVER,207322.4855,6018470.507,24000,,12,,,,0.5
Kakwa,1996,1004070,KAKWA RIVER,218303.287,6017940.311,24000,,6,,,,0.25
Kakwa,1996,1004306,KAKWA RIVER,263027.6779,6026333.898,37000,4,2,1,,,0.054054054
Kakwa,,Grand Total,,,,,22,48,6,0.197072072,,
Kakwa,,,,,,,,,,,,
Kakwa,,1997,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,#BLTR/km,,,
Kakwa,1997,1003579,COPTON CREEK,218516.0327,6004127.544,2300,1,13,,,,5.652173913
Kakwa,1997,1003717,KAKWA RIVER,194635.9022,6001592.731,32000,1,4,,,,0.125
Kakwa,1997,1003741,KAKWA RIVER,196181.7178,6003507.452,32000,,3,,,,0.09375
Kakwa,1997,1003771,KAKWA RIVER,197980.2491,6003834.032,32000,,4,,,,0.125
Kakwa,1997,1003782,KAKWA RIVER,199148.0904,6005028.654,32000,,4,,,,0.125
Kakwa,1997,1003798,KAKWA RIVER,199892.2422,6006434.648,32000,,3,,,,0.09375
Kakwa,1997,1003831,KAKWA RIVER,200570.4154,6009636.605,32000,,5,,,,0.15625
Kakwa,1997,1003945,KAKWA RIVER,213730.0008,6017110.396,86000,,1,,,,0.011627907
Kakwa,1997,1003962,KAKWA RIVER,216442.6677,6017154.348,86000,1,1,,,,0.011627907
Kakwa,1997,1003972,KAKWA RIVER,215651.1054,6017344.212,86000,,1,,,,0.011627907
