,,,,,,,,,,,,Catch,,,,Catch Rate (fish / 100m),,,,Catch Rate (fish / 100s),,,,,,,
OBJECTID,FID_Nordegg_2016_snapped,Site,WaterbodyN,TTMEasting,TTMNorthin,HUC10,DateSample,Method,AverageWet,DistanceSa,Effort_s,BKTR_100m,BLTR_100m,BURB_100m,MNWH_100m,BKTR_100_1,BLTR_100_1,BURB_100_1,MNWH_100_1,BKTR_100s,BLTR_100s,BURB_100s,MNWH_100s,WB_ID,NAME,Feature_Type,STR_ORDER
1,35,UP-04,UNNAMED,426414,5821654,Upper Nordegg River,2016-08-03,Backpack Electrofishing,2.033333333,300,1350,0,13,0,0,0,4,0,0,0,1,0,0,19158,UNNAMED,STR-RECUR,3
2,29,UP-01,SWALE CREEK,425463,5823145,Upper Nordegg River,2016-07-19,Backpack Electrofishing,1.9,300,2621,0,4,0,0,0,1,0,0,0,0,0,0,1732,SWALE CREEK,STR-RECUR,3
3,11,MID-03,RAPID CREEK,435622,5824707,Middle Nordegg River,2016-07-19,Backpack Electrofishing,2.4,300,906,0,1,0,0,0,0,0,0,0,0,0,0,1421,RAPID CREEK,STR-INDEF,4
4,37,UP-06,COLT CREEK,433117,5827440,Upper Nordegg River,2016-08-03,Backpack Electrofishing,9.116666667,300,1679,35,13,0,0,12,4,0,0,2,1,0,0,343,COLT CREEK,STR-PER,4
5,19,MID-14,RAPID CREEK,439596,5828095,Middle Nordegg River,2016-08-05,Backpack Electrofishing,4.906666667,300,2650,71,0,0,0,24,0,0,0,3,0,0,0,1421,RAPID CREEK,STR-RECUR,4
6,38,UP-07,NORDEGG RIVER,421215,5828636,Upper Nordegg River,2016-08-03,Backpack Electrofishing,5.6,300,1896,2,12,0,0,1,4,0,0,0,1,0,0,2153,NORDEGG RIVER,STR-PER,4
7,36,UP-05,COLT CREEK,429013,5830927,Upper Nordegg River,2016-08-03,Backpack Electrofishing,11.43333333,300,1930,10,0,0,0,3,0,0,0,1,0,0,0,343,COLT CREEK,STR-PER,5
8,14,MID-06,RAPID CREEK,440541,5831657,Middle Nordegg River,2016-07-19,Backpack Electrofishing,5.2,300,1702,54,2,0,0,18,1,0,0,3,0,0,0,1421,RAPID CREEK,STR-RECUR,4
9,25,MID-27,STEVENS CREEK,437797,5831737,Middle Nordegg River,2016-07-20,Backpack Electrofishing,2.266666667,300,2355,2,0,0,0,1,0,0,0,0,0,0,0,1680,STEVENS CREEK,STR-INDEF,3
10,15,MID-08,UNNAMED,442717,5832334,Middle Nordegg River,2016-08-04,Backpack Electrofishing,1.963333333,300,1078,19,0,0,0,6,0,0,0,2,0,0,0,19157,UNNAMED,STR-INDEF,3
11,31,UP-02,NORDEGG RIVER,427103,5832683,Upper Nordegg River,2016-08-03,Backpack Electrofishing,11.9,300,3032,25,9,1,1,8,3,0,0,1,0,0,0,2153,NORDEGG RIVER,STR-PER,4
12,26,MID-30,GREY OWL CREEK,446520,5833322,Middle Nordegg River,2016-08-04,Backpack Electrofishing,1.866666667,250,1335,24,0,0,0,10,0,0,0,2,0,0,0,700,GREY OWL CREEK,STR-RECUR,3
13,23,MID-19,STEVENS CREEK,438148,5833586,Middle Nordegg River,2016-08-04,Backpack Electrofishing,2.6,300,2695,53,0,0,0,18,0,0,0,2,0,0,0,1680,STEVENS CREEK,STR-INDEF,3
14,16,MID-09,UNNAMED,447725,5834827,Middle Nordegg River,2016-08-05,Backpack Electrofishing,1.366666667,300,1779,55,0,0,0,18,0,0,0,3,0,0,0,51637,UNNAMED,STR-RECUR,3
15,12,MID-04,RAPID CREEK,443456,5835081,Middle Nordegg River,2016-08-04,Backpack Electrofishing,6.133333333,300,2612,102,0,0,0,34,0,0,0,4,0,0,0,1421,RAPID CREEK,STR-RECUR,4
16,21,MID-16,UNNAMED,444372,5835094,Middle Nordegg River,2016-08-04,Backpack Electrofishing,2.45,300,1095,3,5,0,0,1,2,0,0,0,0,0,0,19157,UNNAMED,STR-INDEF,3
17,39,UP-08,UNNAMED,418240,5835703,Upper Nordegg River,2016-08-03,Backpack Electrofishing,4.005,300,943,10,3,0,0,3,1,0,0,1,0,0,0,19395,UNNAMED,STR-INDEF,3
18,22,MID-17,GREY OWL CREEK,448564,5836698,Middle Nordegg River,2016-08-05,Backpack Electrofishing,2.966666667,300,3842,56,0,0,0,19,0,0,0,1,0,0,0,700,GREY OWL CREEK,STR-RECUR,4
19,17,MID-11,STEVEN'S CREEK,440021,5836910,Middle Nordegg River,2016-08-10,Backpack Electrofishing,6.466666667,300,3836,91,0,0,0,30,0,0,0,2,0,0,0,1680,STEVENS CREEK,STR-RECUR,4
20,24,MID-20,UNNAMED,431199,5837146,Middle Nordegg River,2016-07-19,Backpack Electrofishing,3.676666667,300,1180,1,0,0,0,0,0,0,0,0,0,0,0,19159,T1,STR-RECUR,3
21,13,MID-05,GREY OWL CREEK,447982,5837683,Middle Nordegg River,2016-08-10,Backpack Electrofishing,5.2,300,2396,21,0,0,0,7,0,0,0,1,0,0,0,700,GREY OWL CREEK,STR-RECUR,4
22,33,UP-03,WAWA CREEK,428214,5838774,Upper Nordegg River,2016-08-04,Backpack Electrofishing,9.7,300,1351,1,0,2,0,0,0,1,0,0,0,0,0,1873,WAWA CREEK,STR-INDEF,4
23,10,MID-01,RAPID CREEK,444762,5839381,Middle Nordegg River,2016-08-05,Backpack Electrofishing,6.866666667,300,4269,26,1,0,0,9,0,0,0,1,0,0,0,1421,RAPID CREEK,STR-RECUR,4
24,20,MID-15,UNNAMED,436344,5839790,Middle Nordegg River,2016-08-04,Backpack Electrofishing,2.133333333,300,1955,16,0,0,0,5,0,0,0,1,0,0,0,51195,UNNAMED,STR-INDEF,3
