System,Year,Site,,,,,,,BLTR_100m
Moon,1985,2711407,270421.919,5944280.836,300,9,,,3
Moon,1985,2711432,273270.39,5947835.633,200,3,,,1.5
Moon,,Grand Total,,,,12,,,2.25
Moon,,,,,,,,,
Moon,,1993,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),RNTR,BLTR #/100m,,
Moon,1993,1009717,278981.2478,5959986.019,300,11,,,0
Moon,,Grand Total,,,,11,,,
Moon,,,,,,,,,
Moon,,1997,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,MNWH,RNTR,
Moon,1997,1035874,273289.5228,5948115.238,300,17,,4,5.666666667
Moon,1997,1035875,278269.6003,5951386.23,300,42,2,11,14
Moon,1997,1035886,275269.9531,5949463.255,300,1,,,0.333333333
Moon,,Grand Total,,,,60,2,15,6.666666667
Moon,,,,,,,,,
Moon,,1998,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,MNWH,RNTR,
Moon,1998,1035874,273289.5228,5948115.238,300,22,,,7.333333333
Moon,1998,1035875,278269.6003,5951386.23,300,55,6,4,18.33333333
Moon,1998,1035876,273314.4573,5948061.448,300,1,,,0.333333333
Moon,1998,1035886,275269.9531,5949463.255,150,1,,,0.666666667
Moon,1998,1035899,276555.2534,5950701.611,200,3,,,1.5
Moon,1998,1035901,276523.6089,5950737.097,300,43,,,14.33333333
Moon,1998,1035907,271990.7326,5946758.552,300,33,,,11
Moon,1998,1036107,278794.8223,5955144.38,300,8,37,6,2.666666667
Moon,1998,1036118,278550.752,5958348.268,300,2,17,2,0.666666667
Moon,1998,1036119,278627.4963,5952409.691,300,10,14,2,3.333333333
Moon,,Grand Total,,,,178,74,14,6.016666667
Moon,,,,,,,,,
Moon,,2001,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,MNWH,RNTR,BLTR #/100m
Moon,2001,1076923,273286.2159,5948115.286,300,33,,,11
Moon,2001,1076925,276524.5906,5950735.491,300,78,,,26
Moon,2001,1076927,273309.7944,5948063.567,300,23,,,7.666666667
Moon,2001,1076929,278548.9073,5958348.356,300,4,1,5,1.333333333
Moon,,Grand Total,,,,138,1,5,11.5
Moon,,,,,,,,,
Moon,,2007,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,RNTR,BLTR #/100m,
Moon,2007,1105218,278857.212,5954801.881,300,14,6,,4.666666667
Moon,,Grand Total,,,,14,6,,
Moon,,,,,,,,,
Moon,,2008,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,BLTR #/100m,,
Moon,2008,2244219,278214.893,5957573.441,300,10,,,3.333333333
Moon,2008,2244222,270265.585,5942849.457,300,4,,,1.333333333
Moon,2008,2244234,274187.279,5949522.712,300,17,,,5.666666667
Moon,,Grand Total,,,,31,3.444444444,,
Moon,,,,,,,,,
Moon,,2014,,,,,,,
Moon,,Project Location Id,TTM Easting,TTM Northing,Distance (m),BLTR,RNTR,BLTR #/100m,
Moon,2014,3637244,278903.325,5954542.701,300,16,2,,5.333333333
Moon,,Grand Total,,,,16,2,,
