Waterbody Official Name,Activity Date,Survey Type,Equipment Type,Survey Comments,HUC,TTM Easting,TTM Northing,UTM Easting,UTM Northing,UTM Ref Mer,Latitude,Longitude,ATS QTR,ATS SEC,ATS TWP,ATS RGE,ATS MER,Location Comments,Distance (m),Time (s),Time (h),Angler Count,Pass Number,Captured Count,Total Count of Species by SurveyID,Species Code,Species Common Name,Weight (g),Fork Length (mm),Total Length (mm),Gender,Age,Water Temp (C),Water Conductivity (uS/cm),Dissolved Oxygen (mg/L),Wetted Width (m),Rooted Width (m),Conducted By,Inventory Project ID,Project Location ID,Inventory Survey ID
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,,,LNSC,LONGNOSE SUCKER,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,,5,ARGR,ARCTIC GRAYLING,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,5,ARGR,ARCTIC GRAYLING,,103,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,5,ARGR,ARCTIC GRAYLING,,169,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,5,ARGR,ARCTIC GRAYLING,,183,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,5,ARGR,ARCTIC GRAYLING,,270,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,5,ARGR,ARCTIC GRAYLING,,282,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,,11,LKCH,LAKE CHUB,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,26,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,34,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
